source,trial,sep
mc,28,4.73504
mc,28,13.5608
mc,29,0.840807
mc,29,0.0150789
mc,29,0.281529
mc,29,2.73014
mc,29,0.133383
mc,29,5.3999
mc,29,0.0874483
mc,29,10.0342
mc,29,13.4712
mc,29,0.597945
mc,29,0.0170044
mc,29,4.445
mc,29,0.689227
mc,29,1.25715
mc,30,0.629348
mc,30,7.54023
mc,30,0.0509368
mc,30,0.20475
mc,30,0.259766
mc,30,3.19987
mc,30,0.0107773
mc,30,1.4795
mc,30,5.69063
mc,30,0.175436
mc,30,1.61658
mc,30,0.181209
mc,30,0.00165374
mc,30,13.6992
mc,30,0.0646033
mc,30,5.1955
mc,31,0.930709
mc,31,0.428148
mc,31,0.129558
mc,31,1.55074
mc,31,0.320707
mc,31,0.414944
mc,31,3.36822
mc,31,4.96169
mc,31,3.07993
mc,31,0.137056
mc,31,0.0939532
mc,31,4.73862
mc,31,0.731368
mc,31,0.149791
mc,31,7.95806
mc,31,11.0065
mc,32,4.89477
mc,32,0.504681
mc,32,2.1018
mc,32,1.25233
mc,32,0.51059
mc,32,0.2291
mc,32,4.56317
mc,32,0.258141
mc,32,4.52391
mc,32,2.62832
mc,32,0.848885
mc,32,5.44705
mc,32,4.38983
mc,32,0.0521018
mc,32,1.09481
mc,32,0.0806052
mc,32,2.38196
mc,32,4.23795
mc,33,4.30172
mc,33,4.05481
mc,33,0.199638
mc,33,0.638635
mc,33,0.174422
mc,33,1.06385
mc,33,2.62399
mc,33,0.678656
mc,33,0.0369638
mc,33,0.205889
mc,33,0.717308
mc,33,1.38405
mc,33,1.0476
mc,33,4.15384
mc,33,1.97979
mc,33,0.00478386
mc,33,0.262392
mc,33,4.61489
mc,33,3.25222
mc,33,1.03386
mc,33,2.41421
mc,33,5.15648
mc,34,1.68789
mc,34,0.140975
mc,34,0.319406
mc,34,0.25663
mc,34,0.202728
mc,34,0.571536
mc,34,0.250131
mc,34,0.69608
mc,34,3.03972
mc,34,2.98935
mc,34,1.76628
mc,34,2.34998
mc,34,5.33317
mc,34,0.0803662
mc,34,0.205367
mc,34,0.241905
mc,34,3.74258
mc,34,12.7529
mc,34,0.661479
mc,34,2.71153
mc,35,3.33809
mc,35,3.06984
mc,35,0.305713
mc,35,0.218925
mc,35,0.143452
mc,35,0.209734
mc,35,0.0671822
mc,35,9.45436
mc,35,0.221314
mc,35,0.254831
mc,35,0.184552
mc,35,4.2277
mc,35,0.120089
mc,35,4.63058
mc,35,0.881642
mc,35,2.39053
mc,35,0.274131
mc,35,10.0073
mc,36,0.872753
mc,36,2.80554
mc,36,4.79343
mc,36,3.98003
mc,36,0.293898
mc,36,0.207407
mc,36,1.31461
mc,36,0.935918
mc,36,5.57115
mc,36,0.153821
mc,36,1.72885
mc,36,0.342104
mc,36,2.84937
mc,36,0.797674
mc,36,0.981379
mc,36,0.352929
mc,36,0.298929
mc,36,0.299354
mc,36,0.552828
mc,36,0.292549
mc,36,0.251139
mc,36,0.327357
mc,36,5.34674
mc,36,1.77806
mc,36,1.16081
mc,36,0.114931
mc,36,0.503465
mc,36,1.09296
mc,37,0.263199
mc,37,0.433917
mc,37,0.843656
mc,37,7.09791
mc,37,0.870165
mc,37,0.967027
mc,37,0.802336
mc,37,8.03766
mc,37,0.573532
mc,37,1.49775
mc,37,13.145
mc,37,0.0975435
mc,37,0.00458568
mc,37,0.412653
mc,37,0.573928
mc,37,4.37911
mc,38,0.0711766
mc,38,0.168829
mc,38,0.307611
mc,38,3.28139
mc,38,6.74793
mc,38,1.00401
mc,38,1.15787
mc,38,2.33422
mc,38,2.27167
mc,38,2.39611
mc,38,0.0679604
mc,38,0.158461
mc,38,0.230006
mc,38,3.08406
mc,38,0.378239
mc,38,0.0953624
mc,38,3.0039
mc,38,13.2412
mc,39,3.46135
mc,39,0.241959
mc,39,7.91728
mc,39,4.15322
mc,39,0.858291
mc,39,2.1728
mc,39,0.317908
mc,39,2.68044
mc,39,0.0955049
mc,39,0.0286665
mc,39,1.99227
mc,39,0.0559556
mc,39,0.669196
mc,39,1.2726
mc,39,4.55375
mc,39,2.65228
mc,39,1.2492
mc,39,5.62732
mc,40,0.0506535
mc,40,0.245414
mc,40,6.28198
mc,40,0.145245
mc,40,8.46947
mc,40,0.637185
mc,40,0.957452
mc,40,4.9798
mc,40,0.287539
mc,40,0.106876
mc,40,0.00959713
mc,40,0.241154
mc,40,0.594492
mc,40,0.314322
mc,40,0.752862
mc,40,0.232671
mc,40,0.300738
mc,40,5.45887
mc,40,2.98429
mc,40,2.0886
mc,40,2.3403
mc,40,0.28268
mc,40,0.00459561
mc,40,0.270449
mc,40,0.693059
mc,40,1.26969
mc,41,2.42325
mc,41,4.8051
mc,41,0.895159
mc,41,6.01392
mc,41,1.17557
