tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
39.35,1.46324,0.00711289,3.35166,0.00113365,0.0387576,0.000906656,5.50275,0.0256791
39.4,1.49574,0.0063051,3.36101,0.00101981,0.0481156,0.00079085,5.60934,0.0232721
39.45,1.52788,0.00553708,3.37143,0.0009113,0.0585283,0.000680811,5.71415,0.0209853
39.5,1.55955,0.00481236,3.38279,0.000809949,0.0698902,0.000578277,5.81714,0.0188042
39.55,1.59062,0.00413398,3.39492,0.000717212,0.0820214,0.000484637,5.91826,0.0167122
39.6,1.62096,0.00350416,3.40756,0.000634136,0.0946605,0.000400878,6.01748,0.0146925
39.65,1.65042,0.00292397,3.42036,0.000561352,0.107464,0.000327587,6.11466,0.01273
39.7,1.67885,0.00239303,3.43291,0.000499117,0.120014,0.000264982,6.20959,0.0108143
39.75,1.70611,0.0019093,3.44474,0.000447382,0.131837,0.000212986,6.30196,0.00894068
39.8,1.73206,0.00146889,3.45533,0.000405878,0.14243,0.000171309,6.39131,0.00710869
